iter	Passed	Remaining
402	8003	7884
403	8015	7857
404	8029	7831
405	8120	7880
406	8169	7888
407	8202	7881
408	8228	7866
409	8265	7861
410	8288	7844
411	8309	7825
412	8335	7810
413	8370	7804
414	8396	7789
415	8424	7776
416	8452	7763
417	8481	7751
418	8512	7740
419	8545	7731
420	8577	7722
421	8598	7701
422	8619	7681
423	8640	7662
424	8661	7642
425	8681	7621
426	8702	7601
427	8718	7577
428	8731	7551
429	8744	7524
430	8757	7497
431	8772	7473
432	8790	7450
433	8805	7425
434	8828	7407
435	8845	7385
436	8866	7364
437	8888	7346
438	8943	7354
439	8959	7330
440	8983	7313
441	9011	7298
442	9032	7278
443	9051	7257
444	9070	7235
445	9088	7214
446	9109	7193
447	9131	7174
448	9149	7152
449	9173	7134
450	9191	7112
451	9209	7090
452	9228	7069
453	9246	7046
454	9280	7036
455	9340	7046
456	9367	7030
457	9385	7008
458	9401	6984
459	9418	6961
460	9432	6936
461	9446	6911
462	9459	6885
463	9474	6860
464	9490	6836
465	9507	6814
466	9520	6789
467	9535	6764
468	9548	6739
469	9563	6714
470	9578	6690
471	9591	6665
472	9606	6641
473	9621	6617
474	9635	6592
475	9650	6568
476	9664	6544
477	9679	6520
478	9695	6497
479	9709	6473
480	9725	6450
481	9739	6425
482	9753	6401
483	9767	6376
484	9781	6352
485	9795	6328
486	9810	6305
487	9829	6284
488	9851	6265
489	9881	6251
490	9903	6232
491	9933	6218
492	9954	6199
493	9983	6183
494	10004	6164
495	10024	6143
496	10045	6124
497	10067	6105
498	10086	6084
499	10104	6062
500	10129	6045
501	10159	6030
502	10177	6009
503	10194	5987
504	10212	5965
505	10229	5943
506	10252	5924
507	10268	5902
508	10285	5880
509	10310	5862
510	10326	5840
511	10344	5818
512	10376	5805
513	10424	5800
514	10456	5786
515	10477	5766
516	10494	5744
517	10516	5725
518	10534	5703
519	10550	5681
520	10568	5659
521	10593	5641
522	10615	5622
523	10632	5600
524	10654	5581
525	10673	5560
526	10690	5537
527	10711	5518
528	10730	5497
529	10747	5475
530	10763	5452
531	10776	5428
532	10789	5404
533	10801	5380
534	10813	5356
535	10852	5345
536	10866	5322
537	10878	5297
538	10890	5273
539	10900	5248
540	10913	5224
541	10927	5201
542	10953	5184
543	10974	5164
544	10999	5146
545	11020	5126
546	11038	5105
547	11052	5082
548	11067	5059
549	11082	5037
550	11096	5014
551	11112	4992
552	11128	4970
553	11143	4948
554	11159	4926
555	11178	4905
556	11194	4883
557	11209	4861
558	11226	4839
559	11258	4825
560	11280	4805
561	11307	4788
562	11331	4770
563	11361	4754
564	11413	4747
565	11446	4732
566	11515	4732
567	11564	4723
568	11596	4707
569	11640	4696
570	11675	4682
571	11724	4673
572	11750	4655
573	11773	4635
574	11792	4614
575	11825	4598
576	11849	4579
577	11881	4563
578	11908	4545
579	11949	4532
580	11984	4517
581	12007	4497
582	12028	4477
583	12053	4458
584	12077	4438
585	12101	4419
586	12132	4402
587	12162	4385
588	12187	4365
589	12202	4343
590	12219	4321
591	12232	4298
592	12251	4276
593	12270	4255
594	12301	4238
595	12322	4217
596	12343	4197
597	12369	4178
598	12393	4158
599	12418	4139
600	12516	4144
601	12541	4124
602	12588	4112
603	12648	4104
604	12689	4089
605	12711	4069
606	12726	4046
607	12742	4023
608	12762	4002
609	12785	3982
610	12806	3961
611	12832	3942
612	12859	3922
613	12900	3908
614	12937	3891
615	12959	3870
616	12975	3848
617	12991	3825
618	13006	3803
619	13023	3780
620	13039	3758
621	13055	3736
622	13072	3713
623	13089	3691
624	13106	3669
625	13122	3647
626	13141	3626
627	13160	3604
628	13191	3586
629	13222	3567
630	13244	3547
631	13266	3526
632	13291	3506
633	13317	3487
634	13337	3465
635	13353	3443
636	13371	3421
637	13391	3400
638	13410	3378
639	13430	3357
640	13454	3337
641	13479	3317
642	13506	3297
643	13530	3277
644	13554	3257
645	13579	3237
646	13600	3216
647	13616	3194
648	13635	3172
649	13657	3151
650	13679	3130
651	13738	3118
652	13793	3105
653	13830	3087
654	13857	3067
655	13873	3045
656	13890	3023
657	13907	3001
658	13928	2980
659	13944	2957
660	13959	2935
661	13976	2913
662	13991	2891
663	14005	2868
664	14022	2846
665	14040	2824
666	14057	2802
667	14071	2780
668	14089	2758
669	14104	2736
670	14118	2714
671	14145	2694
672	14162	2672
673	14180	2650
674	14197	2629
675	14212	2606
676	14229	2585
677	14247	2563
678	14261	2541
679	14278	2519
680	14302	2499
681	14336	2480
682	14363	2460
683	14387	2440
684	14427	2422
685	14448	2401
686	14466	2379
687	14483	2357
688	14500	2336
689	14517	2314
690	14532	2292
691	14547	2270
692	14567	2249
693	14583	2227
694	14599	2205
695	14614	2183
696	14629	2161
697	14644	2140
698	14660	2118
699	14676	2096
700	14690	2074
701	14707	2053
702	14723	2031
703	14741	2010
704	14757	1988
705	14776	1967
706	14801	1946
707	14826	1926
708	14863	1907
709	14886	1886
710	14927	1868
711	14955	1848
712	14986	1828
713	15009	1807
714	15033	1787
715	15058	1766
716	15083	1746
717	15105	1725
718	15149	1706
719	15182	1686
720	15212	1666
721	15244	1646
722	15295	1628
723	15321	1608
724	15344	1587
725	15365	1566
726	15394	1545
727	15420	1525
728	15447	1504
729	15487	1485
730	15510	1464
731	15533	1443
732	15551	1421
733	15572	1400
734	15586	1378
735	15601	1356
736	15615	1334
737	15629	1313
738	15644	1291
739	15659	1269
740	15676	1248
741	15690	1226
742	15708	1205
743	15725	1183
744	15740	1162
745	15761	1140
746	15782	1119
747	15805	1098
748	15829	1077
749	15853	1056
750	15884	1036
751	15938	1017
752	15967	996
753	15998	976
754	16021	954
755	16039	933
756	16055	912
757	16078	890
758	16095	869
759	16112	848
760	16143	827
761	16176	806
762	16201	785
763	16220	764
764	16241	743
765	16266	722
766	16291	700
767	16317	679
768	16335	658
769	16357	637
770	16382	616
771	16405	595
772	16429	573
773	16455	552
774	16485	531
775	16516	510
776	16541	489
777	16583	468
778	16615	447
779	16645	426
780	16674	405
781	16717	384
782	16749	363
783	16786	342
784	16868	322
785	16920	301
786	16981	280
787	17061	259
788	17103	238
789	17140	216
790	17181	195
791	17219	173
792	17273	152
793	17300	130
794	17328	108
795	17350	87
796	17372	65
797	17394	43
798	17427	21
799	17452	0
