iter	Logloss
0	0.6745931778
1	0.6579721077
2	0.6426572195
3	0.6286590946
4	0.6151837735
5	0.6034376537
6	0.5927089442
7	0.5820617528
8	0.5726689595
9	0.5642592903
10	0.5561491516
11	0.5477232852
12	0.5398273163
13	0.5327435731
14	0.5263592071
15	0.5204894281
16	0.5146514523
17	0.5087381063
18	0.5037021886
19	0.4989787474
20	0.4944424017
21	0.4901979312
22	0.4863386768
23	0.482436417
24	0.4789537776
25	0.4757655257
26	0.4723120886
27	0.4692376901
28	0.4664062204
29	0.4637179839
30	0.4610533042
31	0.4584625761
32	0.4561028949
33	0.4536826515
34	0.4511834318
35	0.4490201862
36	0.4470353762
37	0.4452453761
38	0.4430983278
39	0.4412347604
40	0.4392446005
41	0.4374559305
42	0.4359460124
43	0.4343490194
44	0.4326363109
45	0.4311687183
46	0.4297285842
47	0.4280806054
48	0.4264461342
49	0.4250279905
50	0.4238214451
51	0.4222165604
52	0.4209440735
53	0.4195041167
54	0.4185654462
55	0.417435217
56	0.4160309355
57	0.4149744214
58	0.4136304066
59	0.412548237
60	0.4117214101
61	0.4107219705
62	0.4097388464
63	0.4087540966
64	0.4076557594
65	0.4067195717
66	0.4058492961
67	0.4045070842
68	0.4035662857
69	0.4024987172
70	0.4014526958
71	0.4006715936
72	0.3999623149
73	0.3990525511
74	0.3982346209
75	0.3973488574
76	0.3966260416
77	0.3956821395
78	0.3948507018
79	0.3936650237
80	0.3925848344
81	0.3916868639
82	0.3910583644
83	0.3904055395
84	0.3896286343
85	0.3889165477
86	0.3884332911
87	0.3878011265
88	0.3871719767
89	0.3866951635
90	0.3861083098
91	0.3853938881
92	0.3846278008
93	0.3840766519
94	0.3834351768
95	0.3827944702
96	0.3821106992
97	0.3814579333
98	0.3808630992
99	0.3801380665
100	0.3793076042
101	0.3788404562
102	0.3783828551
103	0.3777479417
104	0.3771455409
105	0.3765166867
106	0.3757763435
107	0.3752773627
108	0.37466642
109	0.3740324819
110	0.3736461723
111	0.3731438219
112	0.372521884
113	0.3719344095
114	0.3714601383
115	0.3710069707
116	0.3703200961
117	0.3696729757
118	0.3691303392
119	0.3683471975
120	0.3678890348
121	0.3671766821
122	0.3664455312
123	0.3660391524
124	0.3656935131
125	0.3653351052
126	0.3648633167
127	0.3640151202
128	0.3635667704
129	0.3631493963
130	0.3626243758
131	0.3620753845
132	0.3616072611
133	0.3610005155
134	0.3605878705
135	0.3601665063
136	0.3597755266
137	0.3593183097
138	0.3587048547
139	0.3582345736
140	0.3577128634
141	0.3573671946
142	0.356938116
143	0.3563908094
144	0.3560260468
145	0.3556458258
146	0.3552096535
147	0.3548053732
148	0.3541416418
149	0.3537488
150	0.3533483325
151	0.3529243672
152	0.3524208937
153	0.3519696178
154	0.3513541233
155	0.3509880897
156	0.350528597
157	0.3502171255
158	0.3498838411
159	0.3495648031
160	0.3490394278
161	0.3486983699
162	0.3480612988
163	0.3475197854
164	0.3468757094
165	0.3465815879
166	0.3460169019
167	0.3456068875
168	0.345301357
169	0.3446650544
170	0.3440993339
171	0.3437682071
172	0.3431068106
173	0.3424544291
174	0.3419738326
175	0.3415199852
176	0.3410822464
177	0.3407053359
178	0.3403689479
179	0.3400898709
180	0.339642999
181	0.3392449848
182	0.3388694929
183	0.3386176379
184	0.3383598716
185	0.3377159137
186	0.3373108945
187	0.3370422807
188	0.3367473612
189	0.3362569518
190	0.3358815191
191	0.3354928448
192	0.3348931338
193	0.3345421151
194	0.3342737969
195	0.3336061048
196	0.3330719511
197	0.3328067659
198	0.332451166
199	0.3317840354
200	0.3313173603
201	0.3310706483
202	0.3306140817
203	0.3303329948
204	0.3299825377
205	0.3297482691
206	0.3295223356
207	0.3291402821
208	0.3287121789
209	0.3282233656
210	0.3277192418
211	0.3274092483
212	0.3269235089
213	0.3264166068
214	0.3261880131
215	0.3258718717
216	0.3255874745
217	0.3251119323
218	0.3248948954
219	0.3245205267
220	0.3243175294
221	0.3238517115
222	0.3236601231
223	0.3232465028
224	0.3230352591
225	0.3228155917
226	0.3223832913
227	0.3220810712
228	0.3217884572
229	0.3214492613
230	0.3207017949
231	0.3203316529
232	0.3198760026
233	0.3193674157
234	0.3191383787
235	0.3188065721
236	0.3186646986
237	0.3182455806
238	0.3178577636
239	0.3174868235
240	0.3171226224
241	0.3167817418
242	0.3164514131
243	0.3159507474
244	0.3157574744
245	0.3153842289
246	0.3150026779
247	0.3147293349
248	0.3144261395
249	0.3141170622
250	0.3139343114
251	0.3137431664
252	0.3133283047
253	0.3129088912
254	0.3125836758
255	0.3123487865
256	0.3121214342
257	0.311728888
258	0.3114548062
259	0.3111653252
260	0.3109762788
261	0.3106784035
262	0.3103150005
263	0.3101263088
264	0.3097499598
265	0.3094827352
266	0.3092325354
267	0.30889931
268	0.3085678581
269	0.308302732
270	0.3079443832
271	0.3076949519
272	0.3074782106
